Click Time,Install Time,Agency/PMD (af_prt),Media Source (pid),Campaign (c),Site Id (af_siteid),Cost Per Install (af_cpi),Country Code,City,IP,WIFI,Language,Appsflyer Device Id,Customer User Id,IDFA,MAC,Device Name,Device Type,OS Version,SDK Version,App Version,Sub Param 1 (af_sub1),Sub Param 2 (af_sub2),Sub Param 3 (af_sub3),Sub Param 4 (af_sub4),Sub Param 5 (af_sub5),Click URL,Contributor 1,Contributor 2,Contributor 3
2015-01-18 13:59:00,2015-01-19 03:02:17,,Facebook Ads,Ranch Run - iOS - NOV15(TH),,,TH,N/A,49.230.71.92,No,th-TH,1421614765000-3544398,,8E2299A6-1CD0-448C-9F64-AEA206561328,,iPad,iPad Air,8.1.2,2.5.2.5.3.11,1.0.17.2,,,,,,,,,
2014-11-16 02:02:00,2015-01-19 02:59:25,,Facebook Ads,Ranch Run - iOS - NOV15(TH),,,TH,N/A,223.204.248.118,Yes,th-TH,1416128577000-3820827,70e4052a-d94f-4715-87e0-a34585700383,8BA5CAD2-7C7D-4174-A772-F2420656875A,,iPhone5ทอง฿,iPhone 5s,8.1.2,2.5.2.5.3.11,1.0.17.2,,,,,,,,,
2015-01-17 14:20:00,2015-01-19 02:53:21,,Facebook Ads,Ranch Run - iOS - NOV15(TH),,,TH,Chon Buri,223.204.249.6,Yes,th-TH,1421529619000-9924854,,29083437-69C7-452D-B61A-CC138F709AF0,,iPad,iPad mini 1G,8.1,2.5.2.5.3.11,1.0.17.2,,,,,,,,,
2015-01-19 02:20:00,2015-01-19 02:52:38,,Facebook Ads,Ranch Run - iOS - NOV15(TH),,,TH,N/A,49.228.227.236,Yes,th-TH,1421659221000-5603774,be3f9db8-0b49-4f49-b8fe-e24108fb47d2,5A177703-07F1-41CC-AA68-D1ABAD8240D3,,iPad ของ WIN8,iPad mini 1G,8.1,2.5.2.5.3.11,1.0.17.2,,,,,,,,,
2015-01-19 02:42:00,2015-01-19 02:51:30,,Facebook Ads,AUS - iOS - iPhone - Graphic,,,AU,Sydney,203.214.73.175,Yes,en-AU,1421674972000-6526947,,1CFE5074-002D-49A7-9296-3621F4295BDE,,Claire's iPhone,iPhone 4S,8.1.2,2.5.2.5.3.11,1.0.17.2,,,,,,,,,
2015-01-19 02:20:00,2015-01-19 02:50:53,,Facebook Ads,Ranch Run - iOS - NOV15(TH),,,TH,N/A,49.228.227.236,Yes,th-TH,1421659221000-5603774,,5A177703-07F1-41CC-AA68-D1ABAD8240D3,,iPad ของ WIN8,iPad mini 1G,8.1,2.5.2.5.3.11,1.0.17.2,,,,,,,,,
2015-01-19 01:18:00,2015-01-19 02:49:24,,Facebook Ads,AUS - iOS - iPhone - Graphic,,,AU,Melbourne,123.3.107.220,Yes,en-AU,1421669904000-8066492,,C7920CD2-2D13-4614-AA74-86FB1BF6A84E,,Tara's iPhone,iPhone 4S,8.1.2,2.5.2.5.3.11,1.0.17.2,,,,,,,,,
2015-01-19 02:22:00,2015-01-19 02:46:12,,Facebook Ads,Ranch Run - iOS - NOV15(TH),,,TH,N/A,1.10.209.103,Yes,th-TH,1421659385000-5960319,,B18B7074-55DF-41D6-83FC-05C99254A03A,,iPhone,iPhone 5,8.1.2,2.5.2.5.3.11,1.0.17.2,,,,,,,,,
2015-01-19 02:40:00,2015-01-19 02:46:04,,Facebook Ads,Ranch Run - iOS - NOV15(TH),,,TH,N/A,223.204.248.127,Yes,th-TH,1421660456000-1919730,,E6B1EE68-EC32-476E-A102-D790634ACDFC,,FONANANYA,iPad Air,7.1.2,2.5.2.5.3.11,1.0.17.2,,,,,,,,,
2015-01-19 02:17:00,2015-01-19 02:42:28,,Facebook Ads,Ranch Run - iOS - NOV15(TH),,,TH,Bangkok,1.47.40.11,No,th-TH,1421659874000-8062859,,464BD70F-125D-4D10-B473-AD20C0187E78,,Enjoy,iPhone 4S,7.1.2,2.5.2.5.3.11,1.0.17.2,,,,,,,,,
2014-12-13 05:54:00,2015-01-19 02:39:34,,Facebook Ads,Ranch Run - iOS - NOV15(TH),,,TH,Bangkok,125.24.95.107,No,th-US,1418475275000-3780049,30472c32-67d3-43b7-84e1-3fbd7801f6f8,944894BE-13AE-4597-A7C1-ADF8AB486CDE,,KAPTELECOM’s iPad,iPad 2,7.1,2.5.2.5.3.11,1.0.17.2,,,,,,,,,
2014-12-13 05:54:00,2015-01-19 02:39:31,,Facebook Ads,Ranch Run - iOS - NOV15(TH),,,TH,Bangkok,125.24.95.107,Yes,th-US,1418475275000-3780049,30472c32-67d3-43b7-84e1-3fbd7801f6f8,944894BE-13AE-4597-A7C1-ADF8AB486CDE,,KAPTELECOM’s iPad,iPad 2,7.1,2.5.2.5.3.11,1.0.17.2,,,,,,,,,
2014-12-06 12:22:00,2015-01-19 02:37:44,,Facebook Ads,Ranch Run - iOS - NOV15(TH),,,TH,Chiang Mai,180.183.204.94,Yes,en-TH,1418895189000-6668169,2f279b9b-1ad4-4c6c-9654-c10984235af1,DB5CB525-8326-4706-90FA-2F7C78E2C550,,iPad,iPad mini 1G,8.1.2,2.5.2.5.3.11,1.0.17.2,,,,,,,,,
2015-01-18 11:33:00,2015-01-19 02:34:38,,Facebook Ads,Ranch Run - iOS - NOV15(TH),,,TH,N/A,171.7.151.59,Yes,th-TH,1421606061000-1049049,,3D4A1CBF-2D83-444A-8443-3939E15AE85E,,iPhonebell,iPhone 4,7.1.2,2.5.2.5.3.11,1.0.17.2,,,,,,,,,
2015-01-19 00:41:00,2015-01-19 02:22:58,,Facebook Ads,Ranch Run - iOS - NOV15(TH),,,TH,N/A,49.230.223.164,No,th-TH,1421653323000-7861829,,43B749B2-D7EE-4DCF-96D0-29747403D42C,,18,iPhone 4S,8.1.2,2.5.2.5.3.11,1.0.17.2,,,,,,,,,
2015-01-19 02:18:00,2015-01-19 02:22:14,,Facebook Ads,Ranch Run - iOS - NOV15(TH),,,TH,Bangkok,124.120.152.128,Yes,th-TH,1421659107000-5010503,,C22EBC91-107C-48D4-AEE6-90C0DC9C7FBB,,iPhone ของ User,iPhone 5s,8.1.2,2.5.2.5.3.11,1.0.17.2,,,,,,,,,
2015-01-17 11:14:00,2015-01-19 02:20:41,,Facebook Ads,Ranch Run - iOS - NOV15(TH),,,TH,N/A,49.230.228.200,No,th-TH,1421518531000-7115114,,E9849641-5E9E-4F8D-B547-268ACE3D9F9C,,Xserza,iPhone 5,8.1.2,2.5.2.5.3.11,1.0.17.2,,,,,,,,,
2015-01-19 02:07:00,2015-01-19 02:19:12,,Facebook Ads,Ranch Run - iOS - NOV15(TH),,,TH,N/A,171.96.119.210,Yes,th-TH,1421658448000-5824850,,AE37119B-EEBC-49B2-930E-E5A0B9AE3790,,iPhone ของ Piboon,iPhone 4,7.1.2,2.5.2.5.3.11,1.0.17.2,,,,,,,,,
2015-01-18 23:58:00,2015-01-19 02:18:36,,Facebook Ads,Ranch Run - iOS - NOV15(TH),,,TH,N/A,49.230.69.210,No,th-TH,1421650733000-5674558,,D2BB4141-6865-470A-B8F8-81812A71BD3A,,iPhone ของ Nitchanan,iPhone 4,7.1.2,2.5.2.5.3.11,1.0.17.2,,,,,,,,,
2014-11-21 05:23:00,2015-01-19 02:17:08,,Facebook Ads,Ranch Run - iOS - NOV15(TH),,,TH,N/A,101.109.41.77,Yes,th-TH,1416572611000-6359265,dbf79d5e-bdc8-437d-a87b-b6f1781c5f6d,A5BE1F29-0A3D-4BE0-B568-A0E0F3BE1A20,,iPad ของ น้องโอม,iPad 2,8.1.2,2.5.2.5.3.11,1.0.17.2,,,,,,,,,
2015-01-17 11:14:00,2015-01-19 02:16:14,,Facebook Ads,Ranch Run - iOS - NOV15(TH),,,TH,N/A,49.230.228.200,No,th-TH,1421518531000-7115114,,E9849641-5E9E-4F8D-B547-268ACE3D9F9C,,Xserza,iPhone 5,8.1.2,2.5.2.5.3.11,1.0.17.2,,,,,,,,,
